# run	81821033
# key	spec	kept	seed	order	x	killer	symm	diff
s350	2x3kr4db	0	81821033-350	6	0	1	2	1
s351	2x3kr4di	0	81821033-351	6	0	1	2	2
s352	2x3kr4da	0	81821033-352	6	0	1	2	3
s353	2x3kr4de	0	81821033-353	6	0	1	2	4
s354	2x3kr4du	0	81821033-354	6	0	1	2	5
s355	2x3km2	0	81821033-355	6	0	1	3	0
s356	2x3km2db	0	81821033-356	6	0	1	3	1
s357	2x3km2di	0	81821033-357	6	0	1	3	2
s358	2x3km2da	0	81821033-358	6	0	1	3	3
s359	2x3km2de	0	81821033-359	6	0	1	3	4
s360	2x3km2du	0	81821033-360	6	0	1	3	5
s361	2x3kmd2	0	81821033-361	6	0	1	4	0
s362	2x3kmd2db	0	81821033-362	6	0	1	4	1
s363	2x3kmd2di	0	81821033-363	6	0	1	4	2
s364	2x3kmd2da	0	81821033-364	6	0	1	4	3
s365	2x3kmd2de	0	81821033-365	6	0	1	4	4
s366	2x3kmd2du	0	81821033-366	6	0	1	4	5
s367	2x3km4	0	81821033-367	6	0	1	5	0
s368	2x3km4db	0	81821033-368	6	0	1	5	1
s369	2x3km4di	0	81821033-369	6	0	1	5	2
s370	2x3km4da	0	81821033-370	6	0	1	5	3
s371	2x3km4de	0	81821033-371	6	0	1	5	4
s372	2x3km4du	0	81821033-372	6	0	1	5	5
s373	2x3kmd4	0	81821033-373	6	0	1	6	0
s374	2x3kmd4db	0	81821033-374	6	0	1	6	1
s375	2x3kmd4di	0	81821033-375	6	0	1	6	2
s376	2x3kmd4da	0	81821033-376	6	0	1	6	3
s377	2x3kmd4de	0	81821033-377	6	0	1	6	4
s378	2x3kmd4du	0	81821033-378	6	0	1	6	5
s379	2x3km8	0	81821033-379	6	0	1	7	0
s380	2x3km8db	0	81821033-380	6	0	1	7	1
s381	2x3km8di	0	81821033-381	6	0	1	7	2
s382	2x3km8da	0	81821033-382	6	0	1	7	3
s383	2x3km8de	0	81821033-383	6	0	1	7	4
s384	2x3km8du	0	81821033-384	6	0	1	7	5
s385	2x3xa	1	81821033-385	6	1	0	0	0
s386	2x3xadb	1	81821033-386	6	1	0	0	1
s387	2x3xadi	1	81821033-387	6	1	0	0	2
s388	2x3xada	1	81821033-388	6	1	0	0	3
s389	2x3xade	1	81821033-389	6	1	0	0	4
s390	2x3xadu	1	81821033-390	6	1	0	0	5
s391	2x3x	1	81821033-391	6	1	0	1	0
s392	2x3xdb	1	81821033-392	6	1	0	1	1
s393	2x3xdi	1	81821033-393	6	1	0	1	2
s394	2x3xda	1	81821033-394	6	1	0	1	3
s395	2x3xde	1	81821033-395	6	1	0	1	4
