k233	4jr2	cr-4-r2-33	ok	0.000	0.000	6	4j
k234	4jr2	cr-4-r2-34	ok	0.000	0.000	4	4j
k235	4jr2	cr-4-r2-35	ok	0.000	0.000	4	4j
k236	4jr2	cr-4-r2-36	ok	0.000	0.000	4	4j
k237	4jr2	cr-4-r2-37	ok	0.000	0.000	4	4j
k238	4jr2	cr-4-r2-38	ok	0.000	0.000	4	4j
k239	4jr2	cr-4-r2-39	ok	0.000	0.000	4	4j
k240	4jr2	cr-4-r2-40	ok	0.000	0.000	4	4j
k241	4jr2	cr-4-r2-41	ok	0.000	0.000	4	4j
k242	4jr2	cr-4-r2-42	ok	0.000	0.000	4	4j
k243	4jr2	cr-4-r2-43	ok	0.000	0.000	4	4j
k244	4jr2	cr-4-r2-44	ok	0.000	0.000	4	4j
k245	4jr2	cr-4-r2-45	ok	0.000	0.000	4	4j
k246	4jr2	cr-4-r2-46	ok	0.000	0.000	4	4j
k247	4jr2	cr-4-r2-47	ok	0.000	0.000	4	4j
k248	4jr2	cr-4-r2-48	ok	0.000	0.000	4	4j
k249	4jr2	cr-4-r2-49	ok	0.000	0.000	4	4j
k250	4jr2	cr-4-r2-50	ok	0.000	0.000	6	4j
k251	4jr2	cr-4-r2-51	ok	0.000	0.000	4	4j
k252	4jr2	cr-4-r2-52	ok	0.000	0.000	6	4j
k253	4jr2	cr-4-r2-53	ok	0.000	0.000	4	4j
k254	4jr2	cr-4-r2-54	ok	0.000	0.000	6	4j
k255	4jr2	cr-4-r2-55	ok	0.000	0.000	4	4j
k256	4jr2	cr-4-r2-56	ok	0.000	0.000	4	4j
k257	4jr2	cr-4-r2-57	ok	0.000	0.000	4	4j
k258	4jr2	cr-4-r2-58	ok	0.000	0.000	4	4j
k259	4jr2	cr-4-r2-59	ok	0.000	0.000	4	4j
k260	4jr2	cr-4-r2-60	ok	0.000	0.000	4	4j
k261	4jr2	cr-4-r2-61	ok	0.000	0.000	4	4j
k262	4jr2	cr-4-r2-62	ok	0.000	0.000	4	4j
k263	4jr2	cr-4-r2-63	ok	0.000	0.000	4	4j
k264	4jr2	cr-4-r2-64	ok	0.000	0.000	4	4j
k265	4jr2	cr-4-r2-65	ok	0.000	0.000	4	4j
k266	4jr2	cr-4-r2-66	ok	0.000	0.000	4	4j
k267	4jr2	cr-4-r2-67	ok	0.000	0.000	4	4j
k268	4jr2	cr-4-r2-68	ok	0.000	0.000	4	4j
k269	4jr2	cr-4-r2-69	ok	0.000	0.000	4	4j
k270	4jr2	cr-4-r2-70	ok	0.000	0.000	4	4j
k271	4jr2	cr-4-r2-71	ok	0.000	0.000	6	4j
k272	4jr2	cr-4-r2-72	ok	0.000	0.000	4	4j
k273	4jr2	cr-4-r2-73	ok	0.000	0.000	4	4j
k274	4jr2	cr-4-r2-74	ok	0.000	0.000	4	4j
k275	4jr2	cr-4-r2-75	ok	0.000	0.000	4	4j
k276	4jr2	cr-4-r2-76	ok	0.000	0.000	4	4j
k277	4jr2	cr-4-r2-77	ok	0.000	0.000	4	4j
k278	4jr2	cr-4-r2-78	ok	0.000	0.000	4	4j
k279	4jr2	cr-4-r2-79	ok	0.000	0.000	4	4j
k280	4jr2	cr-4-r2-80	ok	0.000	0.000	4	4j
k281	4jr2	cr-4-r2-81	ok	0.000	0.000	4	4j
k282	4jr2	cr-4-r2-82	ok	0.000	0.000	4	4j
k283	4jr2	cr-4-r2-83	ok	0.000	0.000	4	4j
k284	4jr2	cr-4-r2-84	ok	0.000	0.000	4	4j
k285	4jr2	cr-4-r2-85	ok	0.000	0.000	4	4j
k286	4jr2	cr-4-r2-86	ok	0.000	0.000	4	4j
k287	4jr2	cr-4-r2-87	ok	0.000	0.000	4	4j
k288	4jr2	cr-4-r2-88	ok	0.000	0.000	4	4j
k289	4jr2	cr-4-r2-89	ok	0.000	0.000	4	4j
k290	4jr2	cr-4-r2-90	ok	0.000	0.000	4	4j
k291	4jr2	cr-4-r2-91	ok	0.000	0.000	6	4j
k292	4jr2	cr-4-r2-92	ok	0.000	0.000	4	4j
k293	4jr2	cr-4-r2-93	ok	0.000	0.000	4	4j
k294	4jr2	cr-4-r2-94	ok	0.000	0.000	4	4j
k295	4jr2	cr-4-r2-95	ok	0.000	0.000	4	4j
k296	4jr2	cr-4-r2-96	ok	0.000	0.000	4	4j
k297	4jr2	cr-4-r2-97	ok	0.000	0.000	4	4j
k298	4jr2	cr-4-r2-98	ok	0.000	0.000	4	4j
k299	4jr2	cr-4-r2-99	ok	0.000	0.000	4	4j
k300	4jr2	cr-4-r2-100	ok	0.000	0.000	4	4j
k301	4jr2	cr-4-r2-101	ok	0.000	0.000	4	4j
k302	4jr2	cr-4-r2-102	ok	0.000	0.000	4	4j
k303	4jr2	cr-4-r2-103	ok	0.000	0.000	4	4j
k304	4jr2	cr-4-r2-104	ok	0.000	0.000	4	4j
k305	4jr2	cr-4-r2-105	ok	0.000	0.000	4	4j
k306	4jr2	cr-4-r2-106	ok	0.000	0.000	4	4j
k307	4jr2	cr-4-r2-107	ok	0.000	0.000	4	4j
k308	4jr2	cr-4-r2-108	ok	0.000	0.000	4	4j
k309	4jr2	cr-4-r2-109	ok	0.000	0.000	4	4j
k310	4jr2	cr-4-r2-110	ok	0.000	0.000	4	4j
k311	4jr2	cr-4-r2-111	ok	0.000	0.000	4	4j
k312	4jr2	cr-4-r2-112	ok	0.000	0.000	6	4j
k313	4jr2	cr-4-r2-113	ok	0.000	0.000	4	4j
k314	4jr2	cr-4-r2-114	ok	0.000	0.000	4	4j
k315	4jr2	cr-4-r2-115	ok	0.000	0.000	4	4j
k316	4jr2	cr-4-r2-116	ok	0.000	0.000	4	4j
k317	4jr2	cr-4-r2-117	ok	0.000	0.000	4	4j
k318	4jr2	cr-4-r2-118	ok	0.000	0.000	4	4j
k319	4jr2	cr-4-r2-119	ok	0.000	0.000	4	4j
k320	4jr2	cr-4-r2-120	ok	0.000	0.000	4	4j
k321	4jr2	cr-4-r2-121	ok	0.000	0.000	4	4j
k322	4jr2	cr-4-r2-122	ok	0.000	0.000	4	4j
k323	4jr2	cr-4-r2-123	ok	0.000	0.000	4	4j
k324	4jr2	cr-4-r2-124	ok	0.000	0.000	4	4j
k325	4jr2	cr-4-r2-125	ok	0.000	0.000	4	4j
k326	4jr2	cr-4-r2-126	ok	0.000	0.000	4	4j
k327	4jr2	cr-4-r2-127	ok	0.000	0.000	4	4j
k328	4jr2	cr-4-r2-128	ok	0.000	0.000	4	4j
k329	4jr2	cr-4-r2-129	ok	0.000	0.000	4	4j
k330	4jr2	cr-4-r2-130	ok	0.000	0.000	4	4j
k331	4jr2	cr-4-r2-131	ok	0.000	0.000	4	4j
k332	4jr2	cr-4-r2-132	ok	0.000	0.000	4	4j
k333	4jr2	cr-4-r2-133	ok	0.000	0.000	4	4j
